Player-additional,Player,FG%
pokusal01,Aleksej Pokusevski,0.44
chrisjo01,Josh Christopher,0.466
agbajoc01,Ochai Agbaji,0.445
tateja01,Jae'Sean Tate,0.479
gayru01,Rudy Gay,0.379
langfro01,Romeo Langford,0.484
inglejo01,Joe Ingles,0.433
knoxke01,Kevin Knox,0.474
warretj01,T.J. Warren,0.495
riverau01,Austin Rivers,0.44
jonesde02,Derrick Jones Jr.,0.511
robinje02,Jeremiah Robinson-Earl,0.45
hernawi01,Willy Hernangómez,0.522
washidu02,Duane Washington Jr.,0.367
moodymo01,Moses Moody,0.432
youngth01,Thaddeus Young,0.545
cunnica01,Cade Cunningham,0.415
williro04,Robert Williams,0.75
thybuma01,Matisse Thybulle,0.448
hayesja02,Jaxson Hayes,0.567
millspa02,Patty Mills,0.42
tuckepj01,P.J. Tucker,0.426
wainris01,Ish Wainright,0.381
nnajize01,Zeke Nnaji,0.572
hamptrj01,R.J. Hampton,0.435
robindu01,Duncan Robinson,0.371
willija07,Jaylin Williams,0.437
beaucma01,MarJon Beauchamp,0.388
mathega01,Garrison Mathews,0.355
covinro01,Robert Covington,0.415
highsha01,Haywood Highsmith,0.433
holidaa01,Aaron Holiday,0.418
pritcpa01,Payton Pritchard,0.39
kornelu01,Luke Kornet,0.682
flynnma01,Malachi Flynn,0.365
nixda01,Daishen Nix,0.358
hillge01,George Hill,0.467
fontesi01,Simone Fontecchio,0.366
garubus01,Usman Garuba,0.527
bazleda01,Darius Bazley,0.442
maledth01,Théo Maledon,0.414
bassech01,Charles Bassey,0.644
mcbrimi01,Miles McBride,0.36
winslju01,Justise Winslow,0.409
daniedy01,Dyson Daniels,0.423
omorueu01,Eugene Omoruyi,0.475
houseda01,Danuel House Jr.,0.481
reedpa01,Paul Reed,0.569
willizi02,Ziaire Williams,0.424
biyombi01,Bismack Biyombo,0.566
garzalu01,Luka Garza,0.555
wadede01,Dean Wade,0.408
dedmode01,Dewayne Dedmon,0.504
holidju01,Justin Holiday,0.388
johnsst04,Stanley Johnson,0.533
robyis01,Isaiah Roby,0.432
simsje01,Jericho Sims,0.769
jordade01,DeAndre Jordan,0.773
klebima01,Maxi Kleber,0.477
waterli01,Lindy Waters III,0.396
coffeam01,Amir Coffey,0.383
greenja02,Javonte Green,0.587
bertada01,Dāvis Bertāns,0.419
mcgruro01,Rodney McGruder,0.417
kolokch01,Christian Koloko,0.484
thorjt01,JT Thor,0.378
fournev01,Evan Fournier,0.351
brownmo01,Moses Brown,0.635
houstca01,Caleb Houstan,0.398
rosede01,Derrick Rose,0.384
mcgeeja01,JaVale McGee,0.607
diengou01,Ousmane Dieng,0.424
sharpda01,Day'Ron Sharpe,0.516
gillan01,Anthony Gill,0.582
